Imię,Liczba,Płeć
JAN,2521,M
PIOTR,1476,M
JÓZEF,1206,M
STANISŁAW,1087,M
MICHAŁ,911,M
KRZYSZTOF,897,M
PAWEŁ,839,M
JAKUB,732,M
ANDRZEJ,717,M
ADAM,708,M
ALEKSANDER,695,M
TOMASZ,691,M
FRANCISZEK,681,M
ANTONI,671,M
WOJCIECH,580,M
MATEUSZ,580,M
MAREK,573,M
ŁUKASZ,560,M
JERZY,536,M
TADEUSZ,513,M
MARCIN,487,M
KAZIMIERZ,432,M
HENRYK,390,M
DAWID,390,M
GRZEGORZ,386,M
SZYMON,354,M
KAROL,354,M
MACIEJ,329,M
MIKOŁAJ,320,M
KAMIL,309,M
FILIP,306,M
WIKTOR,295,M
RAFAŁ,291,M
LEON,283,M
RYSZARD,282,M
DOMINIK,277,M
MAKSYMILIAN,270,M
ROBERT,264,M
IGNACY,247,M
DARIUSZ,247,M
KACPER,246,M
MARIUSZ,242,M
ARTUR,242,M
ZBIGNIEW,234,M
GABRIEL,234,M
PATRYK,232,M
DAMIAN,232,M
JACEK,224,M
SEBASTIAN,216,M
NIKODEM,194,M
WŁADYSŁAW,188,M
EDWARD,174,M
DANIEL,168,M
STEFAN,167,M
ADRIAN,164,M
MARIAN,161,M
BARTOSZ,157,M
PRZEMYSŁAW,147,M
SŁAWOMIR,144,M
KRYSTIAN,144,M
ROMAN,143,M
JULIAN,143,M
BARTŁOMIEJ,142,M
MIROSŁAW,132,M
JANUSZ,125,M
ARKADIUSZ,124,M
MIŁOSZ,122,M
OLIWIER,119,M
JAROSŁAW,119,M
MARCEL,118,M
KONRAD,118,M
WIESŁAW,108,M
IGOR,104,M
HUBERT,103,M
OSKAR,99,M
CZESŁAW,97,M
ZYGMUNT,96,M
LESZEK,93,M
BOGDAN,92,M
WALDEMAR,91,M
MIECZYSŁAW,89,M
RADOSŁAW,87,M
FELIKS,73,M
TYMOTEUSZ,72,M
TYMON,70,M
WITOLD,68,M
BOGUSŁAW,68,M
SYLWESTER,67,M
CEZARY,67,M
KSAWERY,61,M
ALAN,61,M
FLORIAN,59,M
EUGENIUSZ,59,M
NATAN,58,M
ZDZISŁAW,56,M
FABIAN,56,M
EMIL,53,M
ERYK,52,M
LUDWIK,51,M
TEODOR,50,M
KAJETAN,46,M
IRENEUSZ,46,M
ALBERT,45,M
KONSTANTY,43,M
BRONISŁAW,43,M
BOLESŁAW,43,M
BŁAŻEJ,43,M
BRUNO,40,M
NORBERT,39,M
EDMUND,39,M
LUCJAN,38,M
LEONARD,37,M
OLAF,36,M
GUSTAW,36,M
SZCZEPAN,34,M
LECH,33,M
MIESZKO,32,M
SEWERYN,31,M
WŁODZIMIERZ,30,M
LEO,30,M
BORYS,30,M
ZENON,28,M
KORNEL,28,M
FRYDERYK,28,M
BERNARD,27,M
TOBIASZ,25,M
WINCENTY,23,M
WALENTY,23,M
BENEDYKT,23,M
WACŁAW,22,M
SAMUEL,22,M
MILAN,22,M
ERNEST,22,M
OLGIERD,21,M
NATANIEL,20,M
JEREMI,19,M
VINCENT,18,M
REMIGIUSZ,18,M
LEW,18,M
DAVID,18,M
ALEXANDER,18,M
ALEKS,18,M
ROCH,17,M
LESŁAW,17,M
JOACHIM,17,M
IWO,17,M
CYPRIAN,17,M
MAURYCY,16,M
AMADEUSZ,16,M
MARIA,15,M
KUBA,15,M
KORDIAN,15,M
GERARD,15,M
BOGUMIŁ,15,M
AUGUSTYN,15,M
EMANUEL,14,M
BOŻYDAR,14,M
OLIVIER,13,M
MAX,13,M
JULIUSZ,13,M
HIERONIM,13,M
BENIAMIN,13,M
ALOJZY,13,M
ALFRED,13,M
ALEX,13,M
OKTAWIAN,12,M
MARCELI,12,M
MAKSYM,12,M
KOSMA,12,M
GRACJAN,12,M
MARTIN,11,M
DENIS,11,M
BRUNON,11,M
WILHELM,10,M
RUDOLF,10,M
KLAUDIUSZ,10,M
GNIEWOMIR,10,M
WIT,9,M
ROMUALD,9,M
LEOPOLD,9,M
GNIEWKO,9,M
BENJAMIN,9,M
WILLIAM,8,M
TYTUS,8,M
RAGNAR,8,M
IZYDOR,8,M
HUGO,8,M
BRAJAN,8,M
ARON,8,M
ALEKSY,8,M
ZIEMOWIT,7,M
RAFAEL,7,M
PETER,7,M
MIRON,7,M
MICHAEL,7,M
MAKS,7,M
KEWIN,7,M
